task_id,prompt_id,task_text
L2_1,P1,"What is the mean of global seasonal {variable} anomaly in the {implicit_depth} during boreal winter for {time_period}, relative to the seasonal {clim_time_period} climatology?"
L2_2,P1,"Is the {implicit_depth} mean {variable} anomaly over the {region} during end of century conditions positive relative to the pre-industrial climatology?"
L2_3,P1,"What is the mean {term_for_depth_layer} depth in the {implicit_region} during seasonal {season} conditions over {time_period}?"
L2_4,P1,"What is the mean anomaly of {ratio} in the {region} over the {implicit_depth} during recent annual conditions relative to the {clim_time_period} climatology?"
L2_5,P1,"Is the {region_1} {term_for_thickness} mean thickness in the {implicit_depth} during {implicit_time_period} conditions {comparison_operator} in the same depth layer and time period of {region_2}?"
L2_6,P1,"Is the {implicit_depth} dissolved oxygen in the {implicit_region} hypoxic on average during the recent period?"
L2_7,P1,"What is the global mean stratification in the upper 200 m during {time_period}?"
L2_8,P1,"Is the linear trend in {region} mean {variable} at {depth} significant over {time_period}?"
L2_9,P1,"What is the mean stratification in the {implicit_region} {implicit_depth} during the {enso_phase} within {clim_time_period}?"
L2_10,P1,"What is the mean of {variable} in the {implicit_depth} over {clim_time_period} within the average {qualified_area} at the same depth of the {region}?"
L2_11,P1,"Is the seawater over the {implicit_depth} in the {implicit_region} more {descriptive_adj} in the recent period than in the pre-industrial period?"
L2_12,P1,"What is the change in the {statistical_operator} of {variable} over {region}, at the end of century relative to the pre-industrial, where the statistic is computed after first taking the time mean (and depth mean if applicable) and then applying the spatial reduction?"
L2_13,P1,"What is the {implicit_region} {variable} climatology for {clim_time_period}?"
L2_14,P1,"Is the {depth_range} layer of {region} {descriptive_adj} during {time_period}?"
L2_15,P1,"Is {qualified_area} present in the annual-mean {implicit_depth} waters of {region} during {time_period}? Presence means that at least one qualifying grid cell exists."
